x,y
-1204.5534035176383,-817.4711986205223
-1205.7160547772403,-861.7266360351214
-1208.320532146781,-907.6552506830552
-1211.18016342274,-957.1868543974393
-1211.9904557603459,-1005.443532798252
-1213.1430402243204,-1057.7212364112263
-1220.8600762207918,-1117.7447100255774
-1226.7812705412716,-1177.224607604319
-1226.955919991549,-1237.9936067676972
-1226.4124432335243,-1299.036092293812
-1087.6796348801188,-1273.8045422540506
-1038.684969286632,-1280.111629733137
-993.5014751229029,-1285.6000083340914
-947.1867159497673,-1291.3711995891401
-904.9971702875456,-1300.3184933974965
-870.3339971247727,-1318.3811269692903
-906.5037208303459,-1614.978329303752
-868.192330589593,-1637.5910133807558
-848.9445633949257,-1809.5012270739687
-796.5263034585719,-1810.8061493154432
-745.8807216439493,-1813.8807875877349
-690.6349658524703,-1808.6236048282565
-631.8589101009416,-1784.964024210586
-576.5929067072808,-1767.0574926795248
-530.094567668609,-1769.0351358376777
-483.99509277247375,-1774.1673399575825
-437.3760768144892,-1773.6171317199116
-391.7239607094007,-1774.7840963357037
-346.177680787235,-1776.8416012196392
-300.7296733962399,-1777.4895853531718
-255.67691187259751,-1778.4655968658185
-211.7017588654892,-1777.9405544880456
-168.09133802210744,-1778.3234701768793
-124.48552219722146,-1783.160005373406
-78.60702251535838,-1782.7678441152316
-35.204784113240166,-1778.4015816669587
8.938818965160934,-1779.4775490338473
51.694576570555505,-1780.749819809956
94.93561037149465,-1779.7197229854457
139.94413563985668,-1781.7626669677454
182.50252160581454,-1785.9494371643111
227.8350527639468,-1797.1153103604813
275.17160977668425,-1812.7335256934232
320.95389021089596,-1816.1075581744856
434.17644339799534,-1180.4346142409868
468.5371816781814,-1181.4880064499457
501.9023604520248,-1182.9281552878374
536.1255156064299,-1183.7523733939204
571.5332077883138,-1182.9154047924137
609.5119447677067,-1185.4890084625365
647.5215124013537,-1186.8529356990543
686.0009601816538,-1184.143121683291
722.644437875943,-1183.2866374665787
763.6608243866824,-1184.1043641913718
805.6658204810628,-1185.0702872439997
847.9002788642046,-1183.638930207183
892.5413909872927,-1182.146956970439
938.2095659108685,-1182.5197928294222
986.6427551555149,-1183.4046798112363
1037.3130465765032,-1185.1610200315286
1087.2542966283374,-1183.0146478227643
1184.9691082725728,-1169.2907144674089
1222.05392407034,-1148.0743744044998
1284.443896899234,-1151.8209228080161
1349.1495680126384,-1150.743675034241
1416.586982432924,-1149.4213255815216
1312.8972975799293,-907.9178093348089
1324.7767067866787,-868.3447916325877
1326.79765176333,-823.3409022241722
1328.9158079097544,-778.6866108952717
1331.8587808924926,-736.6384376066476
1336.900390688871,-697.1423153674893
1340.4990099911765,-659.0534627119985
1345.0310268912017,-619.881066576484
1349.0663104441896,-580.7294142063943
1353.632410599397,-543.7194676254156
1359.4037000702358,-508.0828109032546
1364.976838562507,-471.90708056555326
