x,y
-1314.773665093951,-797.5244648757925
-1281.3332421292664,-820.9191099703445
-1248.8331496437274,-843.036966479482
-1213.6799457470777,-863.9074324204942
-1180.7512418174424,-884.4145337151396
-1148.1321477872884,-906.3278290537855
-1132.533080227306,-939.5110814625074
-1266.1544068677365,-1269.8813253487158
-1243.8762384688441,-1311.7667345502398
-1207.5443017089356,-1335.5287377702807
-1168.0749945571072,-1359.653285617482
-1134.6988969516692,-1386.0140604469586
-1096.6569334799267,-1408.7090305490353
-1057.5550345419335,-1431.152542154403
-1022.6886599971482,-1457.4937923412358
-985.3651854254933,-1480.279876864974
-706.5620499842152,-1193.8310734865731
-678.235846729425,-1212.1539243063232
-649.1006005933696,-1229.9812896175806
-622.2940052506156,-1251.0226750659424
-593.8387137951033,-1271.1272878819718
-564.1175567775035,-1290.0524726286835
-534.9550309155503,-1311.0603017779704
-505.91795821556207,-1330.2960505297294
-476.9999495537198,-1348.6294146746723
-444.74895082403566,-1368.0206945587188
-415.03503100042656,-1387.7673339009227
-384.64442876783374,-1408.4206273048783
-357.3164929115322,-1442.1435387621452
-186.244710722377,-1305.532255529498
-158.1815933169295,-1328.3650274061408
-127.40322392004332,-1347.7416225058791
-95.74169757473882,-1365.8986382032551
-63.70798102668064,-1384.5350458379535
-28.626299177135675,-1406.708759834608
5.219442958514495,-1429.490471257225
40.141990893021344,-1451.4450112102575
76.76890764655927,-1477.2566118717336
113.59309907471577,-1504.217024848011
153.09901333753373,-1531.3659563001502
193.98778578859526,-1557.4655659002026
235.1935550053666,-1584.3885426826141
279.4969823026399,-1614.9930144999753
326.82134278281075,-1649.1783931405482
375.2337169902554,-1680.8761763240257
426.6771682442889,-1716.5148285403873
544.9748752254937,-1813.6403854879716
647.7819347122977,-1831.8372103056518
686.0375335146338,-1798.3367496409446
724.3621082258145,-1768.6650611878592
755.2313234065807,-1715.9001167450115
787.6271696344535,-1681.4172605732404
831.0121625031259,-1664.036894354172
868.6172269614996,-1640.7609097689142
923.1728865737751,-1638.5885340728598
1042.9715368265024,-1655.6210121491463
1068.5941949647151,-1608.3741624658462
1100.1352931489362,-1568.0697008641243
1122.2728240003232,-1519.7925091966795
1137.7874763382874,-1462.5486859204896
1157.8239003830408,-1415.222973846101
1182.4262949325487,-1375.0092025335994
1207.4342807417088,-1336.3021580801822
1234.3576687956545,-1300.4653572799843
1260.2527293586268,-1264.1155240499706
1285.987759828916,-1227.4487948872677
1308.5075116625783,-1188.962611658839
1328.9068510908528,-1148.607344188515
1352.1705492128708,-1111.3099785124593
1378.4452817653007,-1077.3295016748502
1401.506549986184,-1039.1977448232958
1423.3170482722242,-1002.1871794219096
1449.9778619497836,-968.6218366088672
1481.2495567202966,-938.9029839210891
1505.5602700280263,-903.2974791358251
1526.0247841379226,-863.7190562890266
1551.3758910042272,-830.1042674332182
1574.629274124392,-793.469099316722
1603.757430161653,-758.3126698145629
1639.6817659008384,-726.0780048123672
1673.7648819582678,-694.1578494285185
1163.4333305048317,-282.5428250202698
1189.0353882669172,-259.39129794374685
1213.2092797143362,-233.63110583786016
1232.4418797177166,-205.76020780962816
1250.9859866408106,-179.1594924315134
1267.8751244011185,-150.27718198332107
1286.9607782637224,-119.5332807666294
1309.6115851313884,-90.71967035683005
1332.9221295683274,-59.51183921738234
1353.2122739074625,-27.906840491080175
-1256.0911765611334,-1300.0750050151983
-1216.100720418818,-1325.028787535136
-1181.070501721472,-1349.0446508412501
-1144.2975059763403,-1375.1742499830077
-1108.4978247561814,-1400.6861300844005
-1072.6752500609832,-1425.1778381684887
-1033.7833898257272,-1446.8811165470465
-996.5607795608722,-1469.7464662794828
-718.658911477251,-1192.4300530657272
-686.1275882170587,-1205.1159675265458
-658.5518697179958,-1224.095353675902
-631.5908155308874,-1244.6730913123447
-603.0289433196627,-1263.4698625288895
-573.9846204718326,-1282.6804816328213
-545.0650951756527,-1303.9093544112477
-517.0671433011323,-1323.3186055589206
-485.52793144076963,-1343.1904892050297
-455.16524517533287,-1361.6911037693092
-426.357393855546,-1381.1913780156272
-395.45414186669046,-1402.307035452821
-364.66947014868197,-1423.0169280586508
-330.81355181146705,-1442.0411380879125
-197.54906635101207,-1302.6053187300608
-166.88932116114825,-1320.747711329598
-137.99735374126965,-1341.4205084016
-106.2819363700945,-1360.3545126184656
-73.7062151437172,-1378.2806159665702
-40.84044464380993,-1400.404605134279
-6.570014278214714,-1424.7348516170944
27.271457810519316,-1447.24307481117
64.18946155154535,-1469.3485888398718
100.01548093221179,-1494.1563350512886
139.52831066849282,-1522.620389500284
178.8631080815494,-1550.7188618725859
221.13780358604222,-1576.3140976103527
264.032579994968,-1604.4197694809177
311.02260675427897,-1637.9827534463766
358.46375241175775,-1672.7729375820504
409.3885075282412,-1705.0405566741804
530.2440964197273,-1820.8661258346333
574.9885967855356,-1814.8421904029565
